City,Country,Continent,Year
Athina,Greece,Europe,1896
Paris,France,Europe,1990
St. Louis,USA,America,1904
Athina,Greece,Europe,1906
London,UK,Europe,1908
Stockholm,Sweden,Europe,1912
Antwerpen,Belgium ,Europe,1920
Paris,France,Europe,1924
Chamonix,France,Europe,1924
Amsterdam,Netherlands,Europe,1928
Sankt Moritz,Switzerland,Europe,1928
Los Angeles,USA,America,1932
Lake Placid,USA,America,1932
Berlin,Germany,Europe,1936
Garmisch-Partenkirchen,Germany,Europe,1936
London,UK,Europe,1948
Sankt Moritz,Switzerland,Europe,1948
Helsinki,Finland,Europe,1952
Oslo,Norway,Europe,1952
Melbourne,Australia,Oceania,1956
Cortina d´Ampezzo,Italy,Europe,1956
Roma,Italy,Europe,1960
Squaw Valley,USA,America,1960
Tokyo,Japan,Asia,1964
Innsbruck,Austria,Europe,1964
Mexico City,Mexico,America,1968
Grenoble,France,Europe,1968
Munich,Germany,Europe,1972
Sapporo,Japan,Asia,1972
Montreal,Canada,America,1976
Innsbruck,Austria,Europe,1976
Moskva,Soviet Union,Asia,1980
Lake Placid,USA,America,1980
Los Angeles,USA,America,1984
Sarajevo,Yugoslavia,Europe,1984
Seoul,South Korea,Asia,1988
Calgary,Canada,America,1988
Barcelona,Spain,Europe,1992
Albertville,France,Europe,1992
Lillehammer,Norway,Europe,1994
Atlanta,USA,America,1996
Nagano,Japan,Asia,1998
Sydney,Australia,Oceania,2000
Salt Lake City,USA,America,2002
Athina,Greece,Europe,2004
Torino,Italy,Europe,2006
Beijing,China,Asia,2008
Vancouver,Canada,America,2010
London,UK,Europe,2012
Sochi,Russia,Asia,2014
Rio de Janeiro,Brazil,America,2016
